,tot_sewer_and_water,num_sewer_and_water,avg_sewer_and_water,tot_power,num_power,avg_power,tot_roads_and_bridges,num_roads_and_bridges,avg_roads_and_bridges,tot_buildings,num_buildings,avg_buildings,tot_shake_intensity,num_shake_intensity,avg_shake_intensity,tot_medical,num_medical,avg_medical,zone,time
962,65.0,10,6.5,43.0,10,4.3,64.0,10,6.4,85.0,10,8.5,1.0,1,1.0,0.0,0,0.0,Scenic Vista,2020-04-06 02:00:00
1922,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Southton,2020-04-06 02:00:00
602,11.0,2,5.5,10.0,2,5.0,5.0,2,2.5,15.0,2,7.5,0.0,0,0.0,9.0,2,4.5,Southwest,2020-04-06 02:00:00
1322,37.0,5,7.4,30.0,5,6.0,37.0,5,7.4,31.0,5,6.2,1.0,1,1.0,31.0,5,6.2,Terrapin Springs,2020-04-06 02:00:00
2282,40.0,5,8.0,28.0,5,5.6,24.0,5,4.8,21.0,5,4.2,0.0,0,0.0,0.0,0,0.0,West Parton,2020-04-06 02:00:00
1802,40.0,8,5.0,45.0,8,5.625,45.0,8,5.625,56.0,8,7.0,1.0,1,1.0,0.0,0,0.0,Weston,2020-04-06 02:00:00
842,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Wilson Forest,2020-04-06 02:00:00
1083,52.0,9,5.777777777777778,73.0,9,8.11111111111111,63.0,9,7.0,59.0,9,6.5555555555555545,0.0,0,0.0,40.0,9,4.4444444444444455,Broadview,2020-04-06 03:00:00
1203,0.0,2,0.0,9.0,2,4.5,10.0,2,5.0,17.0,2,8.5,0.0,0,0.0,0.0,0,0.0,Chapparal,2020-04-06 03:00:00
1563,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Cheddarford,2020-04-06 03:00:00
723,101.0,16,6.3125,84.0,16,5.25,75.0,16,4.6875,116.0,16,7.25,2.0,4,0.5,84.0,16,5.25,Downtown,2020-04-06 03:00:00
2163,7.0,2,3.5,11.0,2,5.5,17.0,2,8.5,11.0,2,5.5,0.0,0,0.0,0.0,0,0.0,East Parton,2020-04-06 03:00:00
1683,23.0,3,7.666666666666668,16.0,3,5.333333333333333,17.0,3,5.666666666666668,11.0,3,3.6666666666666665,0.0,0,0.0,0.0,0,0.0,Easton,2020-04-06 03:00:00
243,71.0,12,5.916666666666668,55.0,12,4.583333333333333,82.0,12,6.833333333333332,61.0,12,5.083333333333333,1.0,2,0.5,2.0,1,2.0,Northwest,2020-04-06 03:00:00
2043,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Oakwillow,2020-04-06 03:00:00
363,24.0,4,6.0,29.0,4,7.25,12.0,4,3.0,18.0,4,4.5,1.0,2,0.5,30.0,4,7.5,Old Town,2020-04-06 03:00:00
123,14.0,2,7.0,11.0,2,5.5,8.0,2,4.0,17.0,2,8.5,0.0,0,0.0,18.0,2,9.0,Palace Hills,2020-04-06 03:00:00
1443,6.0,2,3.0,17.0,2,8.5,12.0,2,6.0,1.0,2,0.5,0.0,1,0.0,0.0,0,0.0,Peppermill,2020-04-06 03:00:00
483,5.0,1,5.0,8.0,1,8.0,2.0,1,2.0,10.0,1,10.0,0.0,0,0.0,0.0,0,0.0,Safe Town,2020-04-06 03:00:00
963,47.0,11,4.2727272727272725,74.0,11,6.727272727272728,54.0,11,4.909090909090909,50.0,11,4.545454545454546,2.0,2,1.0,0.0,0,0.0,Scenic Vista,2020-04-06 03:00:00
1923,20.0,2,10.0,10.0,2,5.0,13.0,2,6.5,19.0,2,9.5,0.0,0,0.0,10.0,2,5.0,Southton,2020-04-06 03:00:00
603,21.0,3,7.0,10.0,3,3.333333333333333,9.0,3,3.0,13.0,3,4.333333333333333,0.0,0,0.0,27.0,3,9.0,Southwest,2020-04-06 03:00:00
1323,19.0,4,4.75,10.0,4,2.5,23.0,4,5.75,20.0,4,5.0,0.0,1,0.0,18.0,4,4.5,Terrapin Springs,2020-04-06 03:00:00
2283,17.0,3,5.666666666666668,24.0,3,8.0,18.0,3,6.0,16.0,3,5.333333333333333,0.0,0,0.0,0.0,0,0.0,West Parton,2020-04-06 03:00:00
1803,35.0,10,3.5,40.0,10,4.0,49.0,10,4.9,60.0,10,6.0,1.0,1,1.0,0.0,0,0.0,Weston,2020-04-06 03:00:00
843,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Wilson Forest,2020-04-06 03:00:00
1084,74.0,10,7.4,62.0,10,6.2,40.0,10,4.0,59.0,10,5.9,0.0,2,0.0,62.0,10,6.2,Broadview,2020-04-06 04:00:00
1204,9.0,1,9.0,4.0,1,4.0,3.0,1,3.0,10.0,1,10.0,1.0,1,1.0,0.0,0,0.0,Chapparal,2020-04-06 04:00:00
1564,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Cheddarford,2020-04-06 04:00:00
724,96.0,16,6.0,83.0,16,5.1875,104.0,16,6.5,100.0,16,6.25,1.0,1,1.0,95.0,16,5.9375,Downtown,2020-04-06 04:00:00
2164,11.0,2,5.5,16.0,2,8.0,16.0,2,8.0,17.0,2,8.5,0.0,0,0.0,0.0,0,0.0,East Parton,2020-04-06 04:00:00
1684,35.0,5,7.0,23.0,5,4.6,38.0,5,7.6,27.0,5,5.4,0.0,1,0.0,0.0,0,0.0,Easton,2020-04-06 04:00:00
244,57.0,9,6.333333333333332,28.0,9,3.111111111111111,58.0,9,6.4444444444444455,72.0,9,8.0,1.0,2,0.5,0.0,0,0.0,Northwest,2020-04-06 04:00:00
2044,2.0,1,2.0,6.0,1,6.0,10.0,1,10.0,3.0,1,3.0,0.0,0,0.0,0.0,0,0.0,Oakwillow,2020-04-06 04:00:00
364,23.0,4,5.75,18.0,4,4.5,10.0,4,2.5,31.0,4,7.75,0.0,0,0.0,18.0,4,4.5,Old Town,2020-04-06 04:00:00
124,5.0,2,2.5,8.0,2,4.0,13.0,2,6.5,10.0,2,5.0,0.0,0,0.0,6.0,2,3.0,Palace Hills,2020-04-06 04:00:00
1444,4.0,1,4.0,5.0,1,5.0,10.0,1,10.0,7.0,1,7.0,0.0,0,0.0,0.0,0,0.0,Peppermill,2020-04-06 04:00:00
484,12.0,3,4.0,6.0,3,2.0,20.0,3,6.666666666666668,14.0,3,4.666666666666667,0.0,0,0.0,0.0,0,0.0,Safe Town,2020-04-06 04:00:00
964,89.0,19,4.684210526315789,96.0,19,5.052631578947368,113.0,19,5.947368421052633,77.0,19,4.052631578947368,1.0,1,1.0,0.0,0,0.0,Scenic Vista,2020-04-06 04:00:00
1924,18.0,3,6.0,15.0,3,5.0,10.0,3,3.333333333333333,19.0,3,6.333333333333332,1.0,1,1.0,16.0,3,5.333333333333333,Southton,2020-04-06 04:00:00
604,36.0,6,6.0,30.0,6,5.0,28.0,6,4.666666666666667,38.0,6,6.333333333333332,1.0,1,1.0,24.0,6,4.0,Southwest,2020-04-06 04:00:00
1324,5.0,1,5.0,8.0,1,8.0,7.0,1,7.0,7.0,1,7.0,0.0,1,0.0,5.0,1,5.0,Terrapin Springs,2020-04-06 04:00:00
2284,5.0,3,1.6666666666666667,14.0,3,4.666666666666667,14.0,3,4.666666666666667,14.0,3,4.666666666666667,0.0,0,0.0,0.0,0,0.0,West Parton,2020-04-06 04:00:00
1804,53.0,9,5.888888888888888,46.0,9,5.111111111111111,48.0,9,5.333333333333333,43.0,9,4.777777777777779,2.0,2,1.0,0.0,0,0.0,Weston,2020-04-06 04:00:00
844,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Wilson Forest,2020-04-06 04:00:00
1085,29.0,4,7.25,26.0,4,6.5,8.0,4,2.0,19.0,4,4.75,0.0,0,0.0,23.0,4,5.75,Broadview,2020-04-06 05:00:00
1205,2.0,1,2.0,8.0,1,8.0,1.0,1,1.0,10.0,1,10.0,0.0,0,0.0,0.0,0,0.0,Chapparal,2020-04-06 05:00:00
1565,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Cheddarford,2020-04-06 05:00:00
725,49.0,8,6.125,37.0,8,4.625,56.0,8,7.0,49.0,8,6.125,1.0,1,1.0,33.0,8,4.125,Downtown,2020-04-06 05:00:00
2165,26.0,4,6.5,25.0,4,6.25,11.0,4,2.75,25.0,4,6.25,0.0,0,0.0,0.0,0,0.0,East Parton,2020-04-06 05:00:00
1685,20.0,4,5.0,19.0,4,4.75,23.0,4,5.75,25.0,4,6.25,0.0,0,0.0,0.0,0,0.0,Easton,2020-04-06 05:00:00
245,51.0,9,5.666666666666668,46.0,9,5.111111111111111,48.0,9,5.333333333333333,49.0,9,5.4444444444444455,2.0,2,1.0,0.0,0,0.0,Northwest,2020-04-06 05:00:00
2045,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Oakwillow,2020-04-06 05:00:00
365,7.0,2,3.5,17.0,2,8.5,13.0,2,6.5,15.0,2,7.5,0.0,0,0.0,8.0,2,4.0,Old Town,2020-04-06 05:00:00
125,20.0,2,10.0,13.0,2,6.5,7.0,2,3.5,7.0,2,3.5,0.0,1,0.0,15.0,2,7.5,Palace Hills,2020-04-06 05:00:00
1445,17.0,2,8.5,15.0,2,7.5,14.0,2,7.0,10.0,2,5.0,0.0,0,0.0,0.0,0,0.0,Peppermill,2020-04-06 05:00:00
485,11.0,2,5.5,14.0,2,7.0,12.0,2,6.0,5.0,2,2.5,0.0,0,0.0,0.0,0,0.0,Safe Town,2020-04-06 05:00:00
965,46.0,7,6.571428571428571,29.0,7,4.142857142857143,21.0,7,3.0,29.0,7,4.142857142857143,2.0,2,1.0,0.0,0,0.0,Scenic Vista,2020-04-06 05:00:00
1925,17.0,2,8.5,16.0,2,8.0,10.0,2,5.0,13.0,2,6.5,1.0,1,1.0,8.0,2,4.0,Southton,2020-04-06 05:00:00
605,14.0,4,3.5,38.0,4,9.5,30.0,4,7.5,26.0,4,6.5,1.0,2,0.5,24.0,4,6.0,Southwest,2020-04-06 05:00:00
1325,10.0,1,10.0,0.0,1,0.0,10.0,1,10.0,5.0,1,5.0,0.0,0,0.0,2.0,1,2.0,Terrapin Springs,2020-04-06 05:00:00
2285,3.0,2,1.5,8.0,2,4.0,8.0,2,4.0,10.0,2,5.0,0.0,0,0.0,0.0,0,0.0,West Parton,2020-04-06 05:00:00
1805,72.0,11,6.545454545454546,61.0,11,5.545454545454546,51.0,11,4.636363636363637,70.0,11,6.363636363636362,0.0,1,0.0,0.0,0,0.0,Weston,2020-04-06 05:00:00
845,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Wilson Forest,2020-04-06 05:00:00
1086,69.0,10,6.9,63.0,10,6.3,64.0,10,6.4,76.0,10,7.6,0.0,0,0.0,30.0,10,3.0,Broadview,2020-04-06 06:00:00
1206,7.0,2,3.5,13.0,2,6.5,5.0,2,2.5,12.0,2,6.0,0.0,0,0.0,0.0,0,0.0,Chapparal,2020-04-06 06:00:00
1566,6.0,1,6.0,6.0,1,6.0,7.0,1,7.0,3.0,1,3.0,0.0,0,0.0,0.0,0,0.0,Cheddarford,2020-04-06 06:00:00
726,81.0,16,5.0625,86.0,16,5.375,74.0,16,4.625,90.0,16,5.625,2.0,6,0.3333333333333333,95.0,16,5.9375,Downtown,2020-04-06 06:00:00
2166,10.0,3,3.333333333333333,27.0,3,9.0,22.0,3,7.333333333333332,25.0,3,8.333333333333334,0.0,0,0.0,0.0,0,0.0,East Parton,2020-04-06 06:00:00
1686,24.0,6,4.0,29.0,6,4.833333333333333,34.0,6,5.666666666666668,43.0,6,7.166666666666668,1.0,2,0.5,0.0,0,0.0,Easton,2020-04-06 06:00:00
246,12.0,6,2.0,44.0,6,7.333333333333332,44.0,6,7.333333333333332,31.0,6,5.166666666666667,0.0,1,0.0,0.0,0,0.0,Northwest,2020-04-06 06:00:00
2046,0.0,1,0.0,5.0,1,5.0,2.0,1,2.0,10.0,1,10.0,0.0,0,0.0,0.0,0,0.0,Oakwillow,2020-04-06 06:00:00
366,77.0,16,4.8125,104.0,16,6.5,92.0,16,5.75,90.0,16,5.625,1.0,1,1.0,95.0,16,5.9375,Old Town,2020-04-06 06:00:00
126,20.0,2,10.0,14.0,2,7.0,0.0,2,0.0,12.0,2,6.0,1.0,2,0.5,14.0,2,7.0,Palace Hills,2020-04-06 06:00:00
1446,0.0,1,0.0,2.0,1,2.0,1.0,1,1.0,10.0,1,10.0,0.0,0,0.0,0.0,0,0.0,Peppermill,2020-04-06 06:00:00
486,10.0,1,10.0,8.0,1,8.0,5.0,1,5.0,5.0,1,5.0,0.0,0,0.0,0.0,0,0.0,Safe Town,2020-04-06 06:00:00
966,53.0,11,4.818181818181818,67.0,11,6.090909090909091,71.0,11,6.454545454545454,60.0,11,5.454545454545454,1.0,2,0.5,0.0,0,0.0,Scenic Vista,2020-04-06 06:00:00
1926,37.0,8,4.625,33.0,8,4.125,42.0,8,5.25,36.0,8,4.5,0.0,0,0.0,67.0,8,8.375,Southton,2020-04-06 06:00:00
606,33.0,7,4.714285714285714,53.0,7,7.571428571428571,29.0,7,4.142857142857143,42.0,7,6.0,0.0,3,0.0,43.0,7,6.142857142857142,Southwest,2020-04-06 06:00:00
1326,10.0,1,10.0,10.0,1,10.0,3.0,1,3.0,10.0,1,10.0,1.0,1,1.0,7.0,1,7.0,Terrapin Springs,2020-04-06 06:00:00
2286,30.0,5,6.0,24.0,5,4.8,27.0,5,5.4,38.0,5,7.6,0.0,1,0.0,0.0,0,0.0,West Parton,2020-04-06 06:00:00
1806,70.0,14,5.0,62.0,14,4.428571428571429,83.0,14,5.928571428571429,70.0,14,5.0,0.0,0,0.0,0.0,0,0.0,Weston,2020-04-06 06:00:00
846,0.0,0,0.0,3.0,1,3.0,1.0,1,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Wilson Forest,2020-04-06 06:00:00
1087,63.0,13,4.846153846153847,76.0,13,5.846153846153847,98.0,13,7.538461538461537,71.0,13,5.461538461538462,2.0,3,0.6666666666666666,61.0,13,4.6923076923076925,Broadview,2020-04-06 07:00:00
1207,22.0,4,5.5,18.0,4,4.5,29.0,4,7.25,21.0,4,5.25,0.0,0,0.0,0.0,0,0.0,Chapparal,2020-04-06 07:00:00
1567,5.0,1,5.0,2.0,1,2.0,1.0,1,1.0,10.0,1,10.0,0.0,0,0.0,0.0,0,0.0,Cheddarford,2020-04-06 07:00:00
727,71.0,10,7.1,56.0,10,5.6,60.0,10,6.0,70.0,10,7.0,0.0,1,0.0,58.0,10,5.8,Downtown,2020-04-06 07:00:00
2167,19.0,2,9.5,12.0,2,6.0,6.0,2,3.0,5.0,2,2.5,0.0,1,0.0,0.0,0,0.0,East Parton,2020-04-06 07:00:00
1687,11.0,5,2.2,34.0,5,6.8,35.0,5,7.0,23.0,5,4.6,0.0,0,0.0,0.0,0,0.0,Easton,2020-04-06 07:00:00
247,43.0,8,5.375,42.0,8,5.25,41.0,8,5.125,55.0,8,6.875,0.0,0,0.0,0.0,0,0.0,Northwest,2020-04-06 07:00:00
2047,26.0,5,5.2,19.0,5,3.8,11.0,5,2.2,21.0,5,4.2,1.0,1,1.0,0.0,0,0.0,Oakwillow,2020-04-06 07:00:00
367,60.0,10,6.0,53.0,10,5.3,60.0,10,6.0,47.0,10,4.7,0.0,0,0.0,58.0,10,5.8,Old Town,2020-04-06 07:00:00
127,18.0,4,4.5,15.0,4,3.75,27.0,4,6.75,16.0,4,4.0,0.0,0,0.0,13.0,4,3.25,Palace Hills,2020-04-06 07:00:00
1447,17.0,3,5.666666666666668,20.0,3,6.666666666666668,17.0,3,5.666666666666668,8.0,3,2.6666666666666665,0.0,0,0.0,0.0,0,0.0,Peppermill,2020-04-06 07:00:00
487,13.0,3,4.333333333333333,11.0,3,3.6666666666666665,20.0,3,6.666666666666668,13.0,3,4.333333333333333,0.0,0,0.0,0.0,0,0.0,Safe Town,2020-04-06 07:00:00
967,48.0,12,4.0,74.0,12,6.166666666666668,70.0,12,5.833333333333332,61.0,12,5.083333333333333,0.0,1,0.0,0.0,0,0.0,Scenic Vista,2020-04-06 07:00:00
1927,10.0,2,5.0,6.0,2,3.0,13.0,2,6.5,4.0,2,2.0,0.0,0,0.0,13.0,2,6.5,Southton,2020-04-06 07:00:00
607,13.0,2,6.5,16.0,2,8.0,7.0,2,3.5,5.0,2,2.5,1.0,1,1.0,4.0,2,2.0,Southwest,2020-04-06 07:00:00
1327,10.0,1,10.0,9.0,1,9.0,9.0,1,9.0,10.0,1,10.0,0.0,0,0.0,1.0,1,1.0,Terrapin Springs,2020-04-06 07:00:00
2287,24.0,4,6.0,18.0,4,4.5,25.0,4,6.25,27.0,4,6.75,0.0,1,0.0,0.0,0,0.0,West Parton,2020-04-06 07:00:00
1807,60.0,11,5.454545454545454,67.0,11,6.090909090909091,64.0,11,5.8181818181818175,70.0,11,6.363636363636362,0.0,0,0.0,0.0,0,0.0,Weston,2020-04-06 07:00:00
847,0.0,0,0.0,4.0,1,4.0,9.0,1,9.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Wilson Forest,2020-04-06 07:00:00
1088,37.0,8,4.625,41.0,8,5.125,46.0,8,5.75,44.0,8,5.5,0.0,3,0.0,39.0,8,4.875,Broadview,2020-04-06 08:00:00
1208,27.0,5,5.4,38.0,5,7.6,26.0,5,5.2,24.0,5,4.8,0.0,0,0.0,0.0,0,0.0,Chapparal,2020-04-06 08:00:00
1568,25.0,4,6.25,24.0,4,6.0,32.0,4,8.0,16.0,4,4.0,1.0,2,0.5,0.0,0,0.0,Cheddarford,2020-04-06 08:00:00
728,75.0,14,5.357142857142857,64.0,14,4.571428571428571,86.0,14,6.142857142857142,74.0,14,5.285714285714286,2.0,2,1.0,74.0,14,5.285714285714286,Downtown,2020-04-06 08:00:00
2168,4.0,2,2.0,9.0,2,4.5,7.0,2,3.5,4.0,2,2.0,0.0,0,0.0,0.0,0,0.0,East Parton,2020-04-06 08:00:00
1688,37.0,8,4.625,42.0,8,5.25,60.0,8,7.5,30.0,8,3.75,1.0,2,0.5,0.0,0,0.0,Easton,2020-04-06 08:00:00
248,43.0,8,5.375,37.0,8,4.625,51.0,8,6.375,46.0,8,5.75,0.0,2,0.0,0.0,0,0.0,Northwest,2020-04-06 08:00:00
